provider_id,provider_npi_fake,provider_name,specialty,brand,location,panel_size,capacity_per_week,active_flag
PRV-1033,9692719434,Dr. Eric Reyes,Pediatrics,CAREPLUS,"Derekton, AZ",799,28,False
PRV-1034,9178736108,Dr. Jade Walker,Pulmonology,CAREPLUS,"North Jamesstad, PR",1022,45,True
PRV-1035,8352913188,Dr. Penny Johnson,Family Practice,CAREPLUS,"Justinland, WY",1879,77,True
PRV-1036,3648403946,Dr. Jordan Thomas,Internal Medicine,CAREPLUS,"Karlatown, HI",802,67,True
PRV-1037,9374838576,Dr. Nicole Mendez,Oncology,CAREPLUS,"Nicolemouth, MH",2342,67,False
PRV-1038,1359873139,Dr. Scott Wheeler,Internal Medicine,CAREPLUS,"New Tracy, GA",2931,57,True
PRV-1039,7242851593,Dr. Danielle Ross,Pulmonology,CAREPLUS,"Michaelberg, TN",2296,31,True
PRV-1040,1416176337,Dr. Phillip Hodges,Endocrinology,HEALTHBRIDGE,"Laurashire, RI",2520,41,True
PRV-1041,7127584892,Dr. Daniel Blake,Pulmonology,HEALTHBRIDGE,"Port Kerri, IL",2073,40,True
PRV-1042,5095310029,Dr. Kristine Cardenas,Internal Medicine,HEALTHBRIDGE,"Richardville, NH",1362,47,True
PRV-1043,7938423009,Dr. Tiffany Vaughan,Family Practice,HEALTHBRIDGE,"Brownchester, UT",1922,38,True
PRV-1044,5804140319,Dr. Todd Grant,Endocrinology,HEALTHBRIDGE,"South James, IN",2493,48,True
PRV-1045,4802545724,Dr. Rachel Williams,Endocrinology,HEALTHBRIDGE,"Patriciaburgh, NJ",1562,58,True
PRV-1046,4970765357,Dr. Sally Davila,Endocrinology,HEALTHBRIDGE,"Campbellside, WY",1077,26,True
PRV-1047,1725215637,Dr. Rachel Martinez,Dermatology,HEALTHBRIDGE,"Joshuafort, ND",662,77,True
PRV-1048,5323593724,Dr. Bethany Smith,Internal Medicine,HEALTHBRIDGE,"New Craig, PR",2013,33,True
PRV-1049,7748102981,Dr. Justin Williams,Psychiatry,HEALTHBRIDGE,"North Melissaburgh, MA",2633,28,False
PRV-1050,4628148396,Dr. Linda Hickman,Psychiatry,HEALTHBRIDGE,"Dixonmouth, VI",2270,51,True
PRV-1051,3872111537,Dr. Steven Cherry,Pulmonology,HEALTHBRIDGE,"North Harold, VI",823,67,True
PRV-1052,4123994242,Dr. Lisa Huber,Pulmonology,HEALTHBRIDGE,"Malonebury, SC",1141,52,True
PRV-1053,6480842253,Dr. Michael Williams,Obstetrics & Gynecology,HEALTHBRIDGE,"Danielleborough, TX",803,65,True
PRV-1054,5459708703,Dr. Erin Strickland,Family Practice,HEALTHBRIDGE,"Port Teresachester, KY",2635,40,True
PRV-1055,1034233408,Dr. Teresa Hood,Pediatrics,HEALTHBRIDGE,"Danielsstad, TN",2901,44,True
PRV-1056,3892006052,Dr. Bruce Page,Endocrinology,HEALTHBRIDGE,"New Patriciabury, ID",2425,29,False
PRV-1057,4495540116,Dr. Victor Oliver,Psychiatry,HEALTHBRIDGE,"Gomezmouth, CA",1657,28,True
PRV-1058,1919935099,Dr. Andrew Mckinney,Oncology,HEALTHBRIDGE,"Port Jessicafurt, MD",775,51,True
PRV-1059,4049386023,Dr. Jorge Barry,Internal Medicine,HEALTHBRIDGE,"East Tammy, GA",2212,64,True
